Corpus,Character,Moral Alignment (Mean),Moral Variance (Ïƒ),Mentions
Modern (Deconstruction),Shallan,0.088,0.654,911
Modern (Deconstruction),Eddard,0.02,0.628,208
Modern (Deconstruction),Tyrion,0.019,0.618,628
Modern (Deconstruction),Dalinar,0.013,0.64,1907
Modern (Deconstruction),Jon,-0.052,0.619,915
Modern (Deconstruction),Jaime,-0.061,0.655,150
Modern (Deconstruction),Kaladin,-0.105,0.635,2799
Successors (80s/90s),Rand,0.028,0.592,2224
Successors (80s/90s),Perrin,0.014,0.605,681
Successors (80s/90s),Moiraine,0.013,0.592,831
Successors (80s/90s),Flick,-0.042,0.643,720
Successors (80s/90s),Shea,-0.067,0.652,1205
Successors (80s/90s),Allanon,-0.121,0.652,531
Tolkien (Root),Frodo,0.087,0.651,2037
Tolkien (Root),Gandalf,0.062,0.659,1181
Tolkien (Root),Sam,0.006,0.652,1552
Tolkien (Root),Aragorn,-0.003,0.639,794
Tolkien (Root),Boromir,-0.082,0.644,292
Tolkien (Root),Gollum,-0.11,0.66,450
